,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age,address,postcode,state,country,property_valuation,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit
0,2950,Kristos,Anthony,Male,19.0,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,68.0,984 Hoepker Court,3064.0,VIC,Australia,6.0,1,2,2017-02-25,0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,17.869999999999997
1,3120,Lauree,O'Donnell,Female,89.0,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,44.0,4 Shopko Circle,2196.0,NSW,Australia,5.0,2,3,2017-05-21,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2014-03-03,1702.5499999999997
2,402,Berne,Donegan,Male,9.0,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,46.0,586 Miller Parkway,2835.0,NSW,Australia,1.0,3,37,2017-10-16,0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20,1544.6100000000001
3,3135,Titus,Worsall,Male,83.0,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,61.0,1617 Harper Parkway,2096.0,NSW,Australia,10.0,4,88,2017-08-31,0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1998-12-16,817.36
5,2339,Damien,Haddeston,Male,3.0,Web Designer II,Property,Affluent Customer,N,Yes,16.0,64.0,7174 Thackeray Point,2153.0,NSW,Australia,10.0,6,25,2017-03-08,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2006-11-10,709.34
6,1542,Sanders,Fernyhough,Male,56.0,Food Chemist,Health,Mass Customer,N,Yes,12.0,45.0,243 Mosinee Place,2155.0,NSW,Australia,10.0,7,22,2017-04-21,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15,15.080000000000005
7,2459,Jeanna,Naulls,Female,67.0,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,37.0,975 Annamark Hill,4034.0,QLD,Australia,6.0,8,15,2017-07-15,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,1279.3999999999999
8,1305,Averil,Gentiry,Male,97.0,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53.0,3 School Place,4124.0,QLD,Australia,4.0,9,67,2017-08-10,0,Approved,Solex,Standard,medium,large,1071.23,380.74,1991-08-05,690.49
9,3262,Maynord,L'Episcopi,Male,65.0,Product Engineer,Entertainment,Mass Customer,N,No,12.0,63.0,2558 Morningstar Center,4221.0,QLD,Australia,8.0,10,12,2017-08-30,1,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17,1069.5500000000002
11,2783,Antonin,Gleaves,Male,14.0,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45.0,13392 Emmet Parkway,2171.0,NSW,Australia,9.0,12,61,2017-01-05,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,14.229999999999997
